node_id,lat,lon,added
71,55.7553,37.6333,0
72,55.7553,37.6333,0
73,55.6748806,37.6822694,0
74,55.7074,37.6851,0
75,55.6785,37.6638,0
76,55.7753,37.6562,0
77,55.7748,37.6549,0
78,55.6333,37.5188,0
79,55.703423,37.850998,0
80,55.6743,37.8582,0
81,55.6137,37.7444,0
82,55.7613,37.5774,0
83,55.7801,37.6673,0
84,55.769,37.6487,0
85,55.7331,37.6673,0
86,55.7453,37.6037,0
87,55.7567,37.4081,0
88,55.7606,37.6259,0
89,55.7056,37.7656,0
90,55.7307,37.4459,0
91,55.7307,37.4459,0
92,55.7288,37.446,0
93,55.758039,37.658204,0
94,55.757,37.6595,0
95,55.7399,37.5344,0
96,55.7077,37.5861,0
97,55.7013,37.8525,0
98,55.5821,37.5769,0
99,55.764698,37.706759,0
100,55.8989,37.5446,0
101,55.707119,37.516196,0
102,55.7597,37.6272,0
103,55.708495,37.900963,0
104,55.6758,37.7618,0
105,55.7411,37.6543,0
106,55.7954,37.6162,0
107,55.7983667,37.6172667,0
108,55.65,37.7431,0
109,55.7701,37.5958,0
110,55.8872,37.6613,0
111,55.781,37.6011,0
112,55.724818,37.496675,0
113,55.8457,37.3622,0
114,55.689484,37.483044,0
115,55.6882,37.4853,0
116,55.761152,37.47139,0
117,55.7408,37.4168,0
118,55.7483,37.5339,0
119,55.8252,37.3852,0
120,55.683,37.6224,0
121,55.68442194,37.70356806,0
122,55.6724,37.6104,0
123,55.775701,37.485072,0
124,55.6627,37.6055,0
125,55.702884,37.928207,0
126,55.732471,37.728327,0
127,55.732471,37.728327,0
128,55.6699,37.5221,0
129,55.670902,37.520151,0
130,55.7517,37.8166,0
131,55.7451,37.8638,0
132,55.7415,37.6295,0
133,55.560396,37.46822,0
134,55.639645,37.355248,0
135,55.7799,37.6028,0
136,55.601,37.5541,0
137,55.6702,37.5544,0
138,55.670452,37.448459,0
139,55.846096,37.573971,0
140,55.718623,37.781277,0
141,55.7297,37.6091,0
142,55.7306,37.6112,0
143,55.7935,37.4935,0
144,55.568643,37.459332,0
145,55.6132,37.6949,0
146,55.8633,37.6047,0
147,55.7577,37.6166,0
148,55.7305,37.6377,0
149,55.7318,37.6379,0
150,55.7362,37.5182,0
151,55.7362,37.5182,0
152,55.7356,37.5943,0
153,55.7357,37.5915,0
154,55.7886,37.7506,0
155,55.7948,37.7993,0
156,55.7511,37.7866,0
157,55.791867,37.557221,0
158,55.8351,37.5745,0
159,55.8351,37.5745,0
160,55.6934,37.727,0
161,55.6946,37.7273611,0
162,55.736,37.4671,0
163,55.8607,37.4364,0
164,55.7472,37.6824,0
165,55.7566,37.6216,0
166,55.7775,37.5192,0
167,55.7379,37.618,0
168,55.553,37.493,0
169,55.6124,37.6044,0
170,55.7963,37.7151,0
171,55.586242,37.433802,0
172,55.7319,37.6659,0
173,55.6771,37.506,0
174,55.6784,37.504,0
175,55.7798,37.6318,0
176,55.7812,37.6318,0
177,55.678,37.5627,0
178,55.765,37.6079,0
179,55.625,37.298,0
180,55.8563,37.3544,0
181,55.697574,37.498477,0
182,55.634053,37.335158,0
183,55.8549,37.4761,0
184,55.7936,37.6362,0
185,55.793806,37.635889,0
186,55.7463,37.6819,0
187,55.633,37.4419,0
188,55.717,37.7933,0
189,55.7927,37.5885,0
190,55.7934,37.587,0
191,55.6219,37.4242,0
192,55.8552,37.6527,0
193,55.6524,37.5984,0
194,55.8665,37.5471,0
195,55.7833,37.7208,0
196,55.728,37.6246,0
197,55.7296,37.4706,0
198,55.7474,37.5823,0
199,55.7488,37.5825,0
200,55.8051,37.5153,0
201,55.7888,37.6802,0
202,55.79111,37.67889,0
203,55.649578,37.391081,0
204,55.818248,37.435751,0
205,55.7233,37.5639,0
206,55.7668,37.6392,0
207,55.727207,37.752257,0
208,55.8038,37.4031,0
209,55.7388,37.5483,0
210,55.7733,37.6319,0
211,55.8505,37.4396,0
212,55.7418,37.6517,0
213,55.7402,37.6522,0
214,55.7647,37.6065,0
215,55.7578,37.619,0
216,55.7088,37.7316,0
217,55.70847,37.72834389,0
218,55.748,37.4596,0
219,55.693861,37.664379,0
220,55.8176,37.5765,0
221,55.7412,37.6274,0
222,55.7412,37.6274,0
223,55.6459,37.4725,0
224,55.7688,37.62,0
225,55.7087,37.6229,0
226,55.7661,37.6374,0
227,55.8267,37.4368,0
228,55.616663,37.48129,0
229,55.6191,37.5082,0
