node_id,neighbors_with_weights
88,"[(102, 386.87607995926095), (1080, 197.32110782358282), (1081, 116.34220976440353)]"
89,"[(1110, 360.3340080231163), (1111, 391.11306062381067)]"
90,"[(91, 0.0), (92, 634.0893694233365), (890, 337.9818175948912), (891, 262.44894391841245)]"
91,"[(90, 0.0), (92, 634.0893694233365), (725, 233.1523044031972)]"
92,"[(90, 634.0893694233365), (91, 634.0893694233365), (301, 269.19991376631896), (445, 406.11298853545645)]"
93,"[(94, 423.44685566713656), (253, 540.7034939137513), (925, 388.9701399656813), (926, 337.5497515427572)]"
94,"[(93, 423.44685566713656), (253, 445.37460179797586), (1165, 281.7199442494362), (1166, 342.033926916358)]"
95,"[(700, 147.21040947803505), (701, 220.70448800176126)]"
96,"[(605, 415.961754282856), (606, 352.2771884079886)]"
97,"[(1125, 487.49381413469445), (1126, 302.7200897826524)]"
98,"[(1350, 243.80871469973044), (1351, 376.4186976151653)]"
99,"[(385, 252.4356548126476), (386, 286.25608885753417)]"
100,"[(1360, 425.54340244057244), (1361, 351.84938448397514)]"
101,"[(1010, 238.83826811135407), (1011, 416.73142880929345)]"
102,"[(88, 386.87607995926095), (1285, 113.83360600890906), (1286, 153.39529304201358)]"
103,"[(1525, 232.46818130553345), (1526, 325.3984354703877)]"
104,"[(1455, 309.81142818191313), (1456, 304.7787411580688)]"
105,"[(212, 541.2061706209073), (213, 495.6327202797372), (270, 288.11626611361623), (271, 338.1324131505584)]"
106,"[(1400, 340.91231278609405), (1401, 258.58138510270777)]"
107,"[(405, 203.99555029801965), (406, 350.6365559712374)]"
108,"[(1465, 185.3083139106679), (1466, 309.39400589653906)]"
109,"[(490, 165.31045418288582), (491, 139.98449515047213)]"
110,"[(675, 327.2016505769492)]"
111,"[(135, 486.16213676532277), (815, 287.59967341485253), (816, 273.3568793514266)]"
112,"[(1015, 361.14664375366846), (1016, 336.69456914404674)]"
113,"[(860, 201.4406461943064), (861, 263.56578901762174)]"
114,"[(115, 602.8404119882075), (1000, 470.9752799400716), (1001, 205.54447146282138)]"
115,"[(114, 602.8404119882075), (315, 251.28845648589484), (316, 249.03791053814476)]"
116,"[(435, 327.2065491827972), (436, 292.2532157487036)]"
117,"[(885, 323.5303060474205), (886, 388.5399067950673)]"
118,"[(735, 78.3036803114793)]"
119,"[(870, 187.20365331328784), (871, 413.32702154110666)]"
120,"[(780, 251.703887763137), (781, 478.498359901336)]"
121,"[(360, 266.5223127943375), (361, 293.08297481117785)]"
122,"[(775, 179.71801539587153), (776, 217.87570792627272)]"
123,"[(430, 362.32872430781407), (431, 286.5781756665832)]"
124,"[(770, 216.8556349503017), (771, 195.54196029250744)]"
125,"[(1530, 294.6047356982022)]"
126,"[(127, 0.0), (375, 446.0216967278314), (376, 355.10366496611846)]"
127,"[(126, 0.0), (1496, 288.6205668336747)]"
128,"[(129, 496.14737007742576), (325, 230.50286204089187), (326, 253.17928775735504)]"
129,"[(128, 496.14737007742576), (1495, 446.3790460858883)]"
130,"[(295, 319.98889737895223), (296, 538.9786208993161)]"
131,"[(300, 501.5776924783081)]"
132,"[(221, 406.84822049577025), (222, 406.84822049577025), (505, 339.3314273815528), (506, 234.87062291134862)]"
133,"[(1200, 280.498122241039), (1201, 167.5873003417092)]"
134,"[(975, 253.84007499662115), (976, 238.39126236690547)]"
135,"[(111, 486.16213676532277), (1180, 310.33263638476836), (1181, 217.0411937255534)]"
136,"[(25, 443.5006313327241), (561, 258.15244726776615)]"
137,"[(590, 264.92686995705316), (591, 157.84724835381496)]"
138,"[(995, 417.89449722854084), (996, 551.5134799677388)]"
139,"[(1380, 212.27395645237235), (1381, 203.5374392975637)]"
140,"[(1505, 371.3884112055268), (1506, 496.46368515963553)]"
141,"[(142, 495.71714230756265), (1145, 233.80043016156873), (1146, 165.1254379522963)]"
142,"[(141, 495.71714230756265), (615, 207.87586624050581), (616, 282.362716400556)]"
143,"[(1050, 387.345899676884), (1051, 372.0088464488213)]"
144,"[(1205, 192.913565110293), (1206, 458.8203150525584)]"
145,"[(545, 333.8719866361459), (546, 265.5234795553763)]"
146,"[(845, 313.9874263076146), (846, 383.4181468000578)]"
147,"[(215, 451.7274485937222), (1280, 149.26710683133788), (1281, 124.95184920437701)]"
148,"[(149, 435.28432495351126), (510, 209.48176523890677), (511, 448.43917313199086)]"
149,"[(148, 435.28432495351126), (1155, 146.5972999239091), (1156, 218.64566327552)]"
150,"[(151, 0.0), (900, 543.331013838087), (901, 551.6111302140297)]"
151,"[(150, 0.0), (1020, 287.5588622184293), (1021, 304.04979747410135)]"
152,"[(153, 526.9311674147841), (1265, 216.6986976159126), (1266, 192.23029982766028)]"
153,"[(152, 526.9311674147841), (1140, 300.5935205755982), (1141, 203.5756602782032)]"
154,"[(945, 318.82529380107724), (946, 332.49925402990914)]"
155,"[(955, 214.02924878048725), (956, 272.6135679841186)]"
156,"[(290, 391.92314419768076), (291, 323.49385867215057)]"
157,"[(53, 737.4942930421662), (415, 324.5752113981649), (416, 289.26532645167623)]"
158,"[(159, 0.0), (835, 329.27880933809985), (836, 258.3793416636599)]"
159,"[(158, 0.0), (1385, 205.32215823662605), (1386, 289.6644370824813)]"
160,"[(161, 406.01811991152726), (1445, 553.7191789183355), (1446, 290.0080446484023)]"
161,"[(160, 406.01811991152726), (365, 340.7861929501605), (366, 259.6318804811733)]"
162,"[(720, 195.69680669455676), (721, 261.5446767262021)]"
163,"[(1026, 197.86622485149877)]"
164,"[(186, 314.5618762147265), (275, 304.73139977234433), (276, 390.0881670943548)]"
165,"[(215, 631.2104141226102), (920, 196.34235476701784), (921, 397.36660534630056)]"
