node_id,x,y,added
505,564873.2206800001,1487819.3705,2
506,564910.9008,1487686.8398222225,2
507,564929.21544,1487634.9900488888,2
508,564948.99792,1487585.0856800003,2
509,564970.24824,1487537.1267155556,2
510,564992.9664,1487491.1131555557,2
511,565074.6483600001,1487356.0914111114,2
512,565129.0618560001,1487260.4166577777,2
513,565180.392888,1487160.02074,2
514,565228.641456,1487054.9036577777,2
515,565273.80756,1486945.065411111,2
516,565328.3356476001,1486766.2593147778,2
517,565342.5867393601,1486703.6209096448,2
518,565358.64447528,1486642.5907846,2
519,565376.5088553601,1486583.1689396445,2
520,565396.1798796,1486525.3553747777,2
521,565421.3333196001,1486400.4758303335,2
522,565422.95931936,1486331.9389352,2
523,565422.53554728,1486263.5394046,2
524,565420.06200336,1486195.2772385334,2
525,565415.5386875999,1486127.152437,2
526,565363.37916,1485964.0299777777,2
527,565320.915216,1485865.3125644445,2
528,565281.573768,1485763.0127599998,2
529,565245.354816,1485657.1305644445,2
530,565212.25836,1485547.665977778,2
531,565207.98828,1485353.3331222225,2
532,565231.1167680001,1485270.2204622224,2
533,565251.6698639999,1485185.28102,2
534,565269.6475679999,1485098.5147955557,2
535,565285.04988,1485009.921788889,2
536,565325.5989600002,1484847.735555556,2
537,565355.2426560001,1484779.0532888891,2
538,565386.8078879999,1484713.4552,2
539,565420.2946560001,1484650.9412888892,2
540,565455.7029600001,1484591.5115555557,2
541,565559.5693200001,1484513.814,2
542,565625.011632,1484486.412266667,2
543,565689.359736,1484452.9608,2
544,565752.6136319999,1484413.4596,2
545,565814.7733199999,1484367.9086666666,2
546,565934.33556,1484291.5752666667,2
547,565993.1525760001,1484272.4652266668,2
548,566052.289848,1484258.9778800001,2
549,566111.747376,1484251.1132266666,2
550,566171.52516,1484248.8712666666,2
551,566295.2073600001,1484280.4544333336,2
552,566359.1784960001,1484302.53596,2
553,566423.536608,1484318.49658,2
554,566488.2816960001,1484328.3362933334,2
555,566553.41376,1484332.0551,2
556,566679.28104,1484400.9153,2
557,566737.1072640001,1484477.3020799998,2
558,566792.411472,1484558.8133399999,2
559,566845.193664,1484645.4490799997,2
560,566895.4538400001,1484737.2093,2
561,563711.87568,1484026.602877778,2
562,563660.894928,1484057.5810711114,2
563,563609.206944,1484083.6245799998,2
564,563556.8117280001,1484104.7334044445,2
565,563503.7092800001,1484120.9075444445,2
566,563382.8293200001,1484174.198577778,2
567,563317.4670720001,1484222.2049911115,2
568,563253.812856,1484276.1662400002,2
569,563191.866672,1484336.0823244445,2
570,563131.62852,1484401.9532444447,2
571,563104.3567200002,1484530.6583555557,2
572,563133.7201920002,1484590.0525022224,2
573,563161.188816,1484651.9614399998,2
574,563186.7625920001,1484716.3851688888,2
575,563210.44152,1484783.323688889,2
576,563246.3202,1484899.1286333334,2
577,563261.6824800001,1484943.8432800004,2
578,563278.31244,1484986.9209399999,2
579,563296.21008,1485028.3616133335,2
580,563315.3754,1485068.1653,2
581,563377.60848,1485161.1651222224,2
582,563417.5003680001,1485219.5094622225,2
583,563455.4840640001,1485281.3650200001,2
584,563491.5595680001,1485346.7317955554,2
585,563525.72688,1485415.609788889,2
586,563588.3936400001,1485554.5164111112,2
587,563620.549344,1485617.7361244448,2
588,563654.453112,1485677.65814,2
589,563690.104944,1485734.2824577778,2
590,563727.5048400001,1485787.609077778,2
591,563790.02148,1485867.412177778,2
592,563812.3493280001,1485899.1554844447,2
593,563833.636344,1485932.8679199999,2
594,563853.8825279999,1485968.5494844445,2
595,563873.0878800001,1486006.2001777778,2
596,563914.5376800001,1486095.255811111,2
597,563939.117328,1486142.1768311113,2
598,563964.991344,1486186.5830599999,2
599,563992.1597279999,1486228.4744977779,2
600,564020.62248,1486267.8511444444,2
601,564089.0772,1486386.0878444444,2
602,564125.1060000003,1486470.4994177779,2
603,564158.466,1486557.9477199998,2
604,564189.1572000001,1486648.432751111,2
605,564217.1796,1486741.9545111111,2
606,564294.04104,1486905.5049,2
607,564347.163504,1486967.2299733334,2
608,564401.900592,1487023.6882200001,2
609,564458.252304,1487074.8796400002,2
610,564516.21864,1487120.8042333333,2
611,564586.65828,1487207.783977778,2
612,564596.0758080002,1487254.7939644447,2
613,564604.0521839999,1487302.49196,2
614,564610.587408,1487350.8779644447,2
615,564615.68148,1487399.9519777778,2
616,564656.3306400001,1487506.4747333336,2
617,564694.741344,1487559.392106667,2
618,564734.566512,1487608.46612,2
